,Time,League,Player_1,Player_2,Bet,Price,Winner,Scoreline,Returns,Unit_Stake
3556799,2021-05-24 12:00:00,Czech Liga Pro,Milan Kolar,Rotislav Hasmanda,Milan Kolar,3.25,Rotislav Hasmanda,1-3,0.0,1
3556917,2021-05-24 10:50:00,TT Cup Ukraine,Anton Myrza,Anatolii Zapletniuk,Anatolii Zapletniuk,3.5,Anton Myrza,3-1,0.0,1
3556935,2021-05-24 09:45:00,TT Cup Ukraine,Artem Tkachenko,Andrey Troyan,Artem Tkachenko,3.25,Artem Tkachenko,3-1,3.25,1
3556937,2021-05-24 10:55:00,TT Cup Ukraine,Andrey Troyan,Dmitriy Belanchik,Dmitriy Belanchik,3.4,Andrey Troyan,3-0,0.0,1
3557773,2021-05-24 13:00:00,Liga Pro,Sergey Muslikov,Andrey Zabrodin,Andrey Zabrodin,4.0,Sergey Muslikov,3-1,0.0,1
3557812,2021-05-24 15:00:00,Liga Pro,Kim Sen,Andrey Zabrodin,Kim Sen,5.0,Andrey Zabrodin,1-3,0.0,1
3558031,2021-05-24 16:35:00,Setka Cup,Artem Lisechko,Dmitriy Pereyaslovskyi,Dmitriy Pereyaslovskyi,3.25,Dmitriy Pereyaslovskyi,2-3,3.25,1
3558032,2021-05-24 17:05:00,Setka Cup,Yevhen Bielokon,Andrii Hrytsai,Yevhen Bielokon,3.0,Yevhen Bielokon,3-1,3.0,1
3558297,2021-05-24 20:30:00,Liga Pro,Pavel Semeshin,Vladislav Chahur,Vladislav Chahur,3.25,Pavel Semeshin,3-1,0.0,1
3558531,2021-05-25 12:00:00,Czech Liga Pro,Tibor Batthyany,Martin Huk,Tibor Batthyany,3.25,Martin Huk,2-3,0.0,1
3558538,2021-05-25 06:30:00,Czech Liga Pro,Jiri Vojtech,Frantisek Just,Jiri Vojtech,4.0,Frantisek Just,0-3,0.0,1
3558578,2021-05-24 21:35:00,TT Cup Ukraine,Dmytro Baistriuchenko,Dmitriy Lebed,Dmytro Baistriuchenko,4.333,Dmitriy Lebed,1-3,0.0,1
3558672,2021-05-25 06:35:00,Setka Cup,Vitalii Sydorenko,Taras Bonishchuk,Vitalii Sydorenko,3.75,Vitalii Sydorenko,3-0,3.75,1
3558760,2021-05-25 09:15:00,Liga Pro,Andrey Duka,Aleksandr Kolmin,Andrey Duka,5.0,Aleksandr Kolmin,1-3,0.0,1
3558913,2021-05-25 17:55:00,Setka Cup,Andrii Peretiatko,Serhii Khandetskyi,Andrii Peretiatko,3.75,Andrii Peretiatko,3-0,3.75,1
3558933,2021-05-25 15:30:00,Setka Cup,Valerii Shepil,Vladyslav Stukalov,Vladyslav Stukalov,4.5,Valerii Shepil,3-1,0.0,1
3558937,2021-05-25 17:30:00,Setka Cup,Iulii Khomutovskyi,Vladyslav Stukalov,Iulii Khomutovskyi,4.333,Vladyslav Stukalov,1-3,0.0,1
3558939,2021-05-25 18:30:00,Setka Cup,Valerii Shepil,Iulii Khomutovskyi,Iulii Khomutovskyi,3.25,Valerii Shepil,3-0,0.0,1
3559191,2021-05-25 05:45:00,TT Cup Ukraine,Mykola Tovkach,Roman Rybachuk,Mykola Tovkach,4.333,Roman Rybachuk,1-3,0.0,1
3559192,2021-05-25 06:20:00,TT Cup Ukraine,Serhii Berezynskyi,Mykola Tovkach,Mykola Tovkach,4.5,Serhii Berezynskyi,3-0,0.0,1
3559284,2021-05-25 05:35:00,TT Cup Ukraine,Anatolii Zapletniuk,Vladimir Tsyhanenko,Anatolii Zapletniuk,4.5,Vladimir Tsyhanenko,2-3,0.0,1
3559288,2021-05-25 07:55:00,TT Cup Ukraine,Anatolii Zapletniuk,Anton Myrza,Anatolii Zapletniuk,4.5,Anatolii Zapletniuk,3-2,4.5,1
3559347,2021-05-25 12:45:00,Liga Pro,Igor Abelmasov,Vasily Shirshov,Vasily Shirshov,3.75,Igor Abelmasov,3-1,0.0,1
3559351,2021-05-25 14:45:00,Liga Pro,Igor Abelmasov,Denis Molodtsov,Denis Molodtsov,4.333,Igor Abelmasov,3-1,0.0,1
3559356,2021-05-25 14:30:00,Liga Pro,Vladimir Selkin,Andrey Yakovlev,Vladimir Selkin,4.333,Vladimir Selkin,3-0,4.333,1
3559426,2021-05-25 15:15:00,Setka Cup,Viktor Dushak,Igor Koshkodan,Viktor Dushak,4.333,Igor Koshkodan,0-3,0.0,1
3559516,2021-05-25 11:15:00,Setka Cup,Ilya Parnyvoda,Maksym Mrykh,Maksym Mrykh,3.0,Maksym Mrykh,2-3,3.0,1
